-rw-r--r-- 1 root root 5.1M Sep 18 06:12 /usr/lib/x86_64-linux-gnu/libcrypto.so.3
-rw-r--r-- 1 root root 5.0M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/Microsoft.ApplicationInsights.SnapshotCollector.dll
-rw-r--r-- 1 root root 5.0M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/Microsoft.CodeAnalysis.CSharp.dll
-rw-r--r-- 1 root root 4.8M Mar 30  2024 /usr/lib/x86_64-linux-gnu/libgtkmm-4.0.so.0.0.0
-rw-r--r-- 1 root root 4.8M Sep  9  2024 /usr/lib/x86_64-linux-gnu/libhwasan.so.0.0.0
-rwxr-xr-x 1 root root 4.8M Sep 18 03:00 /usr/lib/snapd/snap-exec
-rw-r--r-- 1 root root 4.7M Apr  7  2024 /usr/lib/x86_64-linux-gnu/libflite_cmu_time_awb.so.2.2
-rw-rw-r-- 1 sibus sibus 4.7M Dec  5 10:39 /home/sibus/.phpls/3%3Aphpseclib%2Fphpseclib%3A3.0.47
-rw-r--r-- 1 root root 4.6M Apr  7  2024 /usr/lib/x86_64-linux-gnu/libflite_cmu_us_rms.so.2.2
-rw-rw-r-- 1 sibus sibus 4.6M Dec 31 01:52 /home/sibus/.phpls/3%3Aphpseclib%2Fphpseclib%3A3.0.43
-rw-r--r-- 1 root root 4.5M Jul 15  2024 /usr/lib/x86_64-linux-gnu/libgtk-x11-2.0.so.0.2400.33
-rwxr-xr-x 1 root root 4.5M Sep 18 03:00 /usr/lib/snapd/snap-fde-keymgr
-rw-r--r-- 1 root root 4.4M Dec 11 00:02 /opt/brave.com/brave/libvk_swiftshader.so
-rw-r--r-- 1 root root 4.4M Nov 19 15:40 /opt/google/chrome/libvk_swiftshader.so
-rw-r----- 1 syslog adm 4.1M Jan 22 01:57 /var/log/syslog
-rw-r--r-- 1 root root 4.1M Mar 21  2024 /usr/share/backgrounds/Numbat_wallpaper_dimmed_3480x2160.png
-rw-r--r-- 1 root root 4.0M Apr  7  2024 /usr/lib/x86_64-linux-gnu/libflite_cmu_us_awb.so.2.2
-rw-r--r-- 1 root root 4.0M Apr  7  2024 /usr/lib/x86_64-linux-gnu/libflite_cmu_us_slt.so.2.2
-rw-r--r-- 1 root root 4.0M Aug  8  2024 /usr/lib/x86_64-linux-gnu/libicuuc.a
-rw-r--r-- 1 root root 4.0M Jan 20 01:12 /var/cache/snapd/commands.db
-rw-rw-r-- 1 sibus sibus 4.0M Dec  5 10:40 /home/sibus/.phpls/3%3Aleague%2Fcommonmark%3A2.7.1
-rw-rw-r-- 1 sibus sibus 4.0M Dec  5 10:46 /home/sibus/.phpls/3%3Apsy%2Fpsysh%3A0.12.14
-rwxr-xr-x 1 root root 4.0M Sep  5 14:44 /usr/bin/vim.basic
-rw-r--r-- 1 root root 3.9M Apr  7  2024 /usr/lib/x86_64-linux-gnu/libflite_cmu_us_kal16.so.2.2
-rw-r--r-- 1 root root 3.9M Jan 21 09:31 /var/lib/command-not-found/commands.db
-rw-r--r-- 1 root root 3.9M Mar 19  2024 /usr/share/backgrounds/Clouds_by_Tibor_Mokanszki.jpg
-rw-r--r-- 1 root root 3.9M Mar 30  2024 /usr/lib/x86_64-linux-gnu/libqmi-glib.so.5.10.0
-rwxr-xr-x 1 root root 3.9M Jul  2  2025 /usr/bin/git
-rwxr-xr-x 1 root root 3.9M Jul  2  2025 /usr/lib/git-core/git
-rwxr-xr-x 2 root root 3.9M Jul 25 12:26 /usr/bin/perl
-rwxr-xr-x 2 root root 3.9M Jul 25 12:26 /usr/bin/perl5.38.2
-rw-r--r-- 1 root root 3.8M Sep  9  2024 /usr/lib/x86_64-linux-gnu/liblsan.so.0.0.0
-rw-r--r-- 1 root root 3.7M Jul 25 12:26 /usr/lib/x86_64-linux-gnu/libperl.so.5.38.2
-rw-r--r-- 1 root root 3.6M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/System.Linq.Expressions.dll
-rw-r--r-- 1 root root 3.5M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/libclrjit.so
-rw-r--r-- 1 root root 3.5M Jul  7  2025 /usr/lib/x86_64-linux-gnu/libjxl.so.0.7.0
-rw-r--r-- 1 root root 3.5M Nov  3 04:57 /usr/lib/x86_64-linux-gnu/libpoppler.so.134.0.0
-rw-rw-r-- 1 sibus sibus 3.5M Dec 31 01:56 /home/sibus/.phpls/3%3Apsy%2Fpsysh%3A0.12.7
-rw-rw-r-- 1 sibus sibus 3.5M Dec  5 10:48 /home/sibus/.phpls/3%3Anikic%2Fphp-parser%3A5.6.2
-rw-r----- 1 mysql mysql 3.4M Jan  1 00:00 /var/lib/mysql/binlog.000033
-rw-r--r-- 1 root root 3.4M Mar 21  2024 /usr/share/backgrounds/ubuntu-wallpaper-d.png
-rw-r--r-- 1 root root 3.4M Oct  9 08:43 /usr/lib/x86_64-linux-gnu/libndr-standard.so.0.0.1
-rw-rw-r-- 1 sibus sibus 3.4M Dec 31 01:56 /home/sibus/.phpls/3%3Anikic%2Fphp-parser%3A5.4.0
-rw-r--r-- 1 root root 3.3M Aug  8  2024 /usr/lib/x86_64-linux-gnu/libicui18n.so.74.2
-rw-r--r-- 1 root root 3.3M Jun  2  2025 /usr/lib/x86_64-linux-gnu/libvpx.so.9.0.0
-rw-r--r-- 1 root root 3.3M Sep  9  2024 /usr/lib/x86_64-linux-gnu/libubsan.so.1.0.0
-rw-rw-r-- 1 sibus sibus 3.3M Dec  5 10:38 /home/sibus/.phpls/3%3Aintervention%2Fimage%3A3.11.4
-rw-rw-r-- 1 sibus sibus 3.3M Dec  5 10:40 /home/sibus/.phpls/3%3Aleague%2Fcommonmark%3A2.8.0
-rwxr-xr-x 1 root root 3.3M Jul 21  2025 /usr/sbin/wpa_supplicant
-rwxr-xr-x 1 root root 3.3M Oct 16 02:23 /usr/sbin/NetworkManager
-rw-r--r-- 1 root root 3.2M Feb 17  2024 /usr/lib/x86_64-linux-gnu/librav1e.so.0.7.1
-rw-r--r-- 1 root root 3.2M Mar 31  2024 /usr/lib/x86_64-linux-gnu/libhwy_contrib.so.1.0.7
-rw-r--r-- 1 root root 3.2M Sep  9  2024 /usr/lib/x86_64-linux-gnu/libgfortran.so.5.0.0
-rw-rw-r-- 1 sibus sibus 3.2M Dec 31 01:52 /home/sibus/.phpls/3%3Aleague%2Fcommonmark%3A2.6.1
-rwxr-xr-x 1 root root 3.2M Dec  5 09:25 /usr/local/bin/composer
-rw-r--r-- 1 root root 3.1M Jul 11  2025 /usr/share/fwupd/uefi-capsule-ux.tar.xz
-rw-r--r-- 1 root root 3.1M Mar 21  2024 /usr/share/backgrounds/Fuwafuwa_nanbatto_san_by_amaral-light.png
